date,team,awayTeam
22/06/2020,Burnley,Man City
23/06/2020,Leicester,Brighton
23/06/2020,Spurs,West Ham
23/06/2020,Brighton,Leicester
23/06/2020,West Ham,Spurs
24/06/2020,Man Utd,Sheffield Utd
24/06/2020,Newcastle,Aston Villa
24/06/2020,Norwich,Everton
24/06/2020,Wolves,Bournemouth
24/06/2020,Liverpool,Crystal Palace
24/06/2020,Sheffield Utd,Man Utd
24/06/2020,Aston Villa,Newcastle
24/06/2020,Everton,Norwich
24/06/2020,Bournemouth,Wolves
24/06/2020,Crystal Palace,Liverpool
25/06/2020,Burnley,Watford
25/06/2020,Southampton,Arsenal
25/06/2020,Chelsea,Man City
25/06/2020,Watford,Burnley
25/06/2020,Arsenal,Southampton
25/06/2020,Man City,Chelsea
27/06/2020,Aston Villa,Wolves
27/06/2020,Wolves,Aston Villa
28/06/2020,Watford,Southampton
28/06/2020,Southampton,Watford
29/06/2020,Crystal Palace,Burnley
29/06/2020,Burnley,Crystal Palace
30/06/2020,Brighton,Man Utd
30/06/2020,Man Utd,Brighton
01/07/2020,Arsenal,Norwich
01/07/2020,Bournemouth,Newcastle
01/07/2020,Everton,Leicester
01/07/2020,West Ham,Chelsea
01/07/2020,Norwich,Arsenal
01/07/2020,Newcastle,Bournemouth
01/07/2020,Leicester,Everton
01/07/2020,Chelsea,West Ham
02/07/2020,Sheffield Utd,Spurs
02/07/2020,Man City,Liverpool
02/07/2020,Spurs,Sheffield Utd
02/07/2020,Liverpool,Man City
04/07/2020,Norwich,Brighton
04/07/2020,Leicester,Crystal Palace
04/07/2020,Man Utd,Bournemouth
04/07/2020,Wolves,Arsenal
04/07/2020,Chelsea,Watford
04/07/2020,Brighton,Norwich
04/07/2020,Crystal Palace,Leicester
04/07/2020,Bournemouth,Man Utd
04/07/2020,Arsenal,Wolves
04/07/2020,Watford,Chelsea
05/07/2020,Burnley,Sheffield Utd
05/07/2020,Newcastle,West Ham
05/07/2020,Liverpool,Aston Villa
05/07/2020,Southampton,Man City
05/07/2020,Sheffield Utd,Burnley
05/07/2020,West Ham,Newcastle
05/07/2020,Aston Villa,Liverpool
05/07/2020,Man City,Southampton
06/07/2020,Spurs,Everton
06/07/2020,Everton,Spurs
07/07/2020,Crystal Palace,Chelsea
07/07/2020,Watford,Norwich
07/07/2020,Arsenal,Leicester
07/07/2020,Chelsea,Crystal Palace
07/07/2020,Norwich,Watford
07/07/2020,Leicester,Arsenal
08/07/2020,Man City,Newcastle
08/07/2020,Sheffield Utd,Wolves
08/07/2020,West Ham,Burnley
08/07/2020,Brighton,Liverpool
08/07/2020,Newcastle,Man City
08/07/2020,Wolves,Sheffield Utd
08/07/2020,Burnley,West Ham
08/07/2020,Liverpool,Brighton
09/07/2020,Bournemouth,Spurs
09/07/2020,Everton,Southampton
09/07/2020,Aston Villa,Man Utd
09/07/2020,Spurs,Bournemouth
09/07/2020,Southampton,Everton
09/07/2020,Man Utd,Aston Villa
11/07/2020,Norwich,West Ham
11/07/2020,Watford,Newcastle
11/07/2020,Liverpool,Burnley
11/07/2020,Sheffield Utd,Chelsea
11/07/2020,Brighton,Man City
11/07/2020,West Ham,Norwich
11/07/2020,Newcastle,Watford
11/07/2020,Burnley,Liverpool
11/07/2020,Chelsea,Sheffield Utd
11/07/2020,Man City,Brighton
12/07/2020,Wolves,Everton
12/07/2020,Aston Villa,Crystal Palace
12/07/2020,Spurs,Arsenal
12/07/2020,Bournemouth,Leicester
12/07/2020,Everton,Wolves
12/07/2020,Crystal Palace,Aston Villa
12/07/2020,Arsenal,Spurs
12/07/2020,Leicester,Bournemouth
13/07/2020,Man Utd,Southampton
13/07/2020,Southampton,Man Utd
14/07/2020,Chelsea,Norwich
14/07/2020,Norwich,Chelsea
15/07/2020,Burnley,Wolves
15/07/2020,Man City,Bournemouth
15/07/2020,Newcastle,Spurs
15/07/2020,Arsenal,Liverpool
15/07/2020,Wolves,Burnley
15/07/2020,Bournemouth,Man City
15/07/2020,Spurs,Newcastle
15/07/2020,Liverpool,Arsenal
16/07/2020,Everton,Aston Villa
16/07/2020,Leicester,Sheffield Utd
16/07/2020,Crystal Palace,Man Utd
16/07/2020,Southampton,Brighton
16/07/2020,Aston Villa,Everton
16/07/2020,Sheffield Utd,Leicester
16/07/2020,Man Utd,Crystal Palace
16/07/2020,Brighton,Southampton
17/07/2020,West Ham,Watford
17/07/2020,Watford,West Ham
18/07/2020,Norwich,Burnley
18/07/2020,Burnley,Norwich
19/07/2020,Bournemouth,Southampton
19/07/2020,Spurs,Leicester
19/07/2020,Southampton,Bournemouth
19/07/2020,Leicester,Spurs
20/07/2020,Brighton,Newcastle
20/07/2020,Sheffield Utd,Everton
20/07/2020,Wolves,Crystal Palace
20/07/2020,Newcastle,Brighton
20/07/2020,Everton,Sheffield Utd
20/07/2020,Crystal Palace,Wolves
21/07/2020,Watford,Man City
21/07/2020,Aston Villa,Arsenal
21/07/2020,Man City,Watford
21/07/2020,Arsenal,Aston Villa
22/07/2020,Man Utd,West Ham
22/07/2020,Liverpool,Chelsea
22/07/2020,West Ham,Man Utd
22/07/2020,Chelsea,Liverpool
26/07/2020,Arsenal,Watford
26/07/2020,Burnley,Brighton
26/07/2020,Chelsea,Wolves
26/07/2020,Crystal Palace,Spurs
26/07/2020,Everton,Bournemouth
26/07/2020,Leicester,Man Utd
26/07/2020,Man City,Norwich
26/07/2020,Newcastle,Liverpool
26/07/2020,Southampton,Sheffield Utd
26/07/2020,West Ham,Aston Villa
26/07/2020,Watford,Arsenal
26/07/2020,Brighton,Burnley
26/07/2020,Wolves,Chelsea
26/07/2020,Spurs,Crystal Palace
26/07/2020,Bournemouth,Everton
26/07/2020,Man Utd,Leicester
26/07/2020,Norwich,Man City
26/07/2020,Liverpool,Newcastle
26/07/2020,Sheffield Utd,Southampton
26/07/2020,Aston Villa,West Ham
12/09/2020,Fulham,Arsenal
12/09/2020,Crystal Palace,Southampton
12/09/2020,Liverpool,Leeds
12/09/2020,West Ham,Newcastle
12/09/2020,Arsenal,Fulham
12/09/2020,Southampton,Crystal Palace
12/09/2020,Leeds,Liverpool
12/09/2020,Newcastle,West Ham
13/09/2020,West Brom,Leicester
13/09/2020,Spurs,Everton
13/09/2020,Leicester,West Brom
13/09/2020,Everton,Spurs
14/09/2020,Sheffield Utd,Wolves
14/09/2020,Brighton,Chelsea
14/09/2020,Wolves,Sheffield Utd
14/09/2020,Chelsea,Brighton
19/09/2020,Everton,West Brom
19/09/2020,Leeds,Fulham
19/09/2020,Man Utd,Crystal Palace
19/09/2020,Arsenal,West Ham
19/09/2020,West Brom,Everton
19/09/2020,Fulham,Leeds
19/09/2020,Crystal Palace,Man Utd
19/09/2020,West Ham,Arsenal
20/09/2020,Southampton,Spurs
20/09/2020,Newcastle,Brighton
20/09/2020,Chelsea,Liverpool
20/09/2020,Leicester,Burnley
20/09/2020,Spurs,Southampton
20/09/2020,Brighton,Newcastle
20/09/2020,Liverpool,Chelsea
20/09/2020,Burnley,Leicester
21/09/2020,Aston Villa,Sheffield Utd
21/09/2020,Wolves,Man City
21/09/2020,Sheffield Utd,Aston Villa
21/09/2020,Man City,Wolves
26/09/2020,Brighton,Man Utd
26/09/2020,Crystal Palace,Everton
26/09/2020,West Brom,Chelsea
26/09/2020,Burnley,Southampton
26/09/2020,Man Utd,Brighton
26/09/2020,Everton,Crystal Palace
26/09/2020,Chelsea,West Brom
26/09/2020,Southampton,Burnley
27/09/2020,Sheffield Utd,Leeds
27/09/2020,Spurs,Newcastle
27/09/2020,Man City,Leicester
27/09/2020,West Ham,Wolves
27/09/2020,Leeds,Sheffield Utd
27/09/2020,Newcastle,Spurs
27/09/2020,Leicester,Man City
27/09/2020,Wolves,West Ham
28/09/2020,Fulham,Aston Villa
28/09/2020,Liverpool,Arsenal
28/09/2020,Aston Villa,Fulham
28/09/2020,Arsenal,Liverpool
03/10/2020,Chelsea,Crystal Palace
03/10/2020,Everton,Brighton
03/10/2020,Leeds,Man City
03/10/2020,Newcastle,Burnley
03/10/2020,Crystal Palace,Chelsea
03/10/2020,Brighton,Everton
03/10/2020,Man City,Leeds
03/10/2020,Burnley,Newcastle
04/10/2020,Leicester,West Ham
04/10/2020,Southampton,West Brom
04/10/2020,Arsenal,Sheffield Utd
04/10/2020,Wolves,Fulham
04/10/2020,Man Utd,Spurs
04/10/2020,Aston Villa,Liverpool
04/10/2020,West Ham,Leicester
04/10/2020,West Brom,Southampton
04/10/2020,Sheffield Utd,Arsenal
04/10/2020,Fulham,Wolves
04/10/2020,Spurs,Man Utd
04/10/2020,Liverpool,Aston Villa
17/10/2020,Everton,Liverpool
17/10/2020,Chelsea,Southampton
17/10/2020,Man City,Arsenal
17/10/2020,Newcastle,Man Utd
17/10/2020,Liverpool,Everton
17/10/2020,Southampton,Chelsea
17/10/2020,Arsenal,Man City
17/10/2020,Man Utd,Newcastle
18/10/2020,Sheffield Utd,Fulham
18/10/2020,Crystal Palace,Brighton
18/10/2020,Spurs,West Ham
18/10/2020,Leicester,Aston Villa
18/10/2020,Fulham,Sheffield Utd
18/10/2020,Brighton,Crystal Palace
18/10/2020,West Ham,Spurs
18/10/2020,Aston Villa,Leicester
19/10/2020,West Brom,Burnley
19/10/2020,Leeds,Wolves
19/10/2020,Burnley,West Brom
19/10/2020,Wolves,Leeds
23/10/2020,Aston Villa,Leeds
23/10/2020,Leeds,Aston Villa
24/10/2020,West Ham,Man City
24/10/2020,Fulham,Crystal Palace
24/10/2020,Man Utd,Chelsea
24/10/2020,Liverpool,Sheffield Utd
24/10/2020,Man City,West Ham
24/10/2020,Crystal Palace,Fulham
24/10/2020,Chelsea,Man Utd
24/10/2020,Sheffield Utd,Liverpool
25/10/2020,Southampton,Everton
25/10/2020,Wolves,Newcastle
25/10/2020,Arsenal,Leicester
25/10/2020,Everton,Southampton
25/10/2020,Newcastle,Wolves
25/10/2020,Leicester,Arsenal
26/10/2020,Brighton,West Brom
26/10/2020,Burnley,Spurs
26/10/2020,West Brom,Brighton
26/10/2020,Spurs,Burnley
30/10/2020,Wolves,Crystal Palace
30/10/2020,Crystal Palace,Wolves
31/10/2020,Sheffield Utd,Man City
31/10/2020,Burnley,Chelsea
31/10/2020,Liverpool,West Ham
31/10/2020,Man City,Sheffield Utd
31/10/2020,Chelsea,Burnley
31/10/2020,West Ham,Liverpool
01/11/2020,Aston Villa,Southampton
01/11/2020,Newcastle,Everton
01/11/2020,Man Utd,Arsenal
01/11/2020,Spurs,Brighton
01/11/2020,Southampton,Aston Villa
01/11/2020,Everton,Newcastle
01/11/2020,Arsenal,Man Utd
01/11/2020,Brighton,Spurs
02/11/2020,Fulham,West Brom
02/11/2020,Leeds,Leicester
02/11/2020,West Brom,Fulham
02/11/2020,Leicester,Leeds
06/11/2020,Brighton,Burnley
06/11/2020,Southampton,Newcastle
06/11/2020,Burnley,Brighton
06/11/2020,Newcastle,Southampton
07/11/2020,Everton,Man Utd
07/11/2020,Crystal Palace,Leeds
07/11/2020,Chelsea,Sheffield Utd
07/11/2020,West Ham,Fulham
07/11/2020,Man Utd,Everton
07/11/2020,Leeds,Crystal Palace
07/11/2020,Sheffield Utd,Chelsea
07/11/2020,Fulham,West Ham
08/11/2020,West Brom,Spurs
08/11/2020,Leicester,Wolves
08/11/2020,Man City,Liverpool
08/11/2020,Arsenal,Aston Villa
08/11/2020,Spurs,West Brom
08/11/2020,Wolves,Leicester
08/11/2020,Liverpool,Man City
08/11/2020,Aston Villa,Arsenal
21/11/2020,Newcastle,Chelsea
21/11/2020,Aston Villa,Brighton
21/11/2020,Spurs,Man City
21/11/2020,Man Utd,West Brom
21/11/2020,Chelsea,Newcastle
21/11/2020,Brighton,Aston Villa
21/11/2020,Man City,Spurs
21/11/2020,West Brom,Man Utd
22/11/2020,Fulham,Everton
22/11/2020,Sheffield Utd,West Ham
22/11/2020,Leeds,Arsenal
22/11/2020,Liverpool,Leicester
22/11/2020,Everton,Fulham
22/11/2020,West Ham,Sheffield Utd
22/11/2020,Arsenal,Leeds
22/11/2020,Leicester,Liverpool
23/11/2020,Burnley,Crystal Palace
23/11/2020,Wolves,Southampton
23/11/2020,Crystal Palace,Burnley
23/11/2020,Southampton,Wolves
27/11/2020,Crystal Palace,Newcastle
27/11/2020,Newcastle,Crystal Palace
28/11/2020,Brighton,Liverpool
28/11/2020,Man City,Burnley
28/11/2020,Everton,Leeds
28/11/2020,West Brom,Sheffield Utd
28/11/2020,Liverpool,Brighton
28/11/2020,Burnley,Man City
28/11/2020,Leeds,Everton
28/11/2020,Sheffield Utd,West Brom
29/11/2020,Southampton,Man Utd
29/11/2020,Chelsea,Spurs
29/11/2020,Arsenal,Wolves
29/11/2020,Man Utd,Southampton
29/11/2020,Spurs,Chelsea
29/11/2020,Wolves,Arsenal
30/11/2020,Leicester,Fulham
30/11/2020,West Ham,Aston Villa
30/11/2020,Fulham,Leicester
30/11/2020,Aston Villa,West Ham
05/12/2020,Burnley,Everton
05/12/2020,Man City,Fulham
05/12/2020,West Ham,Man Utd
05/12/2020,Chelsea,Leeds
05/12/2020,Everton,Burnley
05/12/2020,Fulham,Man City
05/12/2020,Man Utd,West Ham
05/12/2020,Leeds,Chelsea
06/12/2020,West Brom,Crystal Palace
06/12/2020,Sheffield Utd,Leicester
06/12/2020,Spurs,Arsenal
06/12/2020,Liverpool,Wolves
06/12/2020,Crystal Palace,West Brom
06/12/2020,Leicester,Sheffield Utd
06/12/2020,Arsenal,Spurs
06/12/2020,Wolves,Liverpool
07/12/2020,Brighton,Southampton
07/12/2020,Southampton,Brighton
11/12/2020,Leeds,West Ham
11/12/2020,West Ham,Leeds
12/12/2020,Wolves,Aston Villa
12/12/2020,Newcastle,West Brom
12/12/2020,Man Utd,Man City
12/12/2020,Everton,Chelsea
12/12/2020,Aston Villa,Wolves
12/12/2020,West Brom,Newcastle
12/12/2020,Man City,Man Utd
12/12/2020,Chelsea,Everton
13/12/2020,Southampton,Sheffield Utd
13/12/2020,Crystal Palace,Spurs
13/12/2020,Fulham,Liverpool
13/12/2020,Arsenal,Burnley
13/12/2020,Leicester,Brighton
13/12/2020,Sheffield Utd,Southampton
13/12/2020,Spurs,Crystal Palace
13/12/2020,Liverpool,Fulham
13/12/2020,Burnley,Arsenal
13/12/2020,Brighton,Leicester
15/12/2020,Wolves,Chelsea
15/12/2020,Man City,West Brom
15/12/2020,Chelsea,Wolves
15/12/2020,West Brom,Man City
16/12/2020,Arsenal,Southampton
16/12/2020,Leeds,Newcastle
16/12/2020,Leicester,Everton
16/12/2020,Fulham,Brighton
16/12/2020,Liverpool,Spurs
16/12/2020,West Ham,Crystal Palace
16/12/2020,Southampton,Arsenal
16/12/2020,Newcastle,Leeds
16/12/2020,Everton,Leicester
16/12/2020,Brighton,Fulham
16/12/2020,Spurs,Liverpool
16/12/2020,Crystal Palace,West Ham
17/12/2020,Aston Villa,Burnley
17/12/2020,Sheffield Utd,Man Utd
17/12/2020,Burnley,Aston Villa
17/12/2020,Man Utd,Sheffield Utd
19/12/2020,Crystal Palace,Liverpool
19/12/2020,Southampton,Man City
19/12/2020,Everton,Arsenal
19/12/2020,Newcastle,Fulham
19/12/2020,Liverpool,Crystal Palace
19/12/2020,Man City,Southampton
19/12/2020,Arsenal,Everton
19/12/2020,Fulham,Newcastle
20/12/2020,Brighton,Sheffield Utd
20/12/2020,Spurs,Leicester
20/12/2020,Man Utd,Leeds
20/12/2020,West Brom,Aston Villa
20/12/2020,Sheffield Utd,Brighton
20/12/2020,Leicester,Spurs
20/12/2020,Leeds,Man Utd
20/12/2020,Aston Villa,West Brom
21/12/2020,Burnley,Wolves
21/12/2020,Chelsea,West Ham
21/12/2020,Wolves,Burnley
21/12/2020,West Ham,Chelsea
26/12/2020,Leicester,Man Utd
26/12/2020,Aston Villa,Crystal Palace
26/12/2020,Fulham,Southampton
26/12/2020,Arsenal,Chelsea
26/12/2020,Man City,Newcastle
26/12/2020,Sheffield Utd,Everton
26/12/2020,Man Utd,Leicester
26/12/2020,Crystal Palace,Aston Villa
26/12/2020,Southampton,Fulham
26/12/2020,Chelsea,Arsenal
26/12/2020,Newcastle,Man City
26/12/2020,Everton,Sheffield Utd
27/12/2020,Leeds,Burnley
27/12/2020,West Ham,Brighton
27/12/2020,Liverpool,West Brom
27/12/2020,Wolves,Spurs
27/12/2020,Burnley,Leeds
27/12/2020,Brighton,West Ham
27/12/2020,West Brom,Liverpool
27/12/2020,Spurs,Wolves
28/12/2020,Crystal Palace,Leicester
28/12/2020,Chelsea,Aston Villa
28/12/2020,Leicester,Crystal Palace
28/12/2020,Aston Villa,Chelsea
29/12/2020,Brighton,Arsenal
29/12/2020,Burnley,Sheffield Utd
29/12/2020,Southampton,West Ham
29/12/2020,West Brom,Leeds
29/12/2020,Man Utd,Wolves
29/12/2020,Arsenal,Brighton
29/12/2020,Sheffield Utd,Burnley
29/12/2020,West Ham,Southampton
29/12/2020,Leeds,West Brom
29/12/2020,Wolves,Man Utd
30/12/2020,Newcastle,Liverpool
30/12/2020,Liverpool,Newcastle
01/01/2021,Everton,West Ham
01/01/2021,Man Utd,Aston Villa
01/01/2021,West Ham,Everton
01/01/2021,Aston Villa,Man Utd
02/01/2021,Spurs,Leeds
02/01/2021,Crystal Palace,Sheffield Utd
02/01/2021,Brighton,Wolves
02/01/2021,West Brom,Arsenal
02/01/2021,Leeds,Spurs
02/01/2021,Sheffield Utd,Crystal Palace
02/01/2021,Wolves,Brighton
02/01/2021,Arsenal,West Brom
03/01/2021,Newcastle,Leicester
03/01/2021,Chelsea,Man City
03/01/2021,Leicester,Newcastle
03/01/2021,Man City,Chelsea
04/01/2021,Southampton,Liverpool
04/01/2021,Liverpool,Southampton
12/01/2021,Sheffield Utd,Newcastle
12/01/2021,Burnley,Man Utd
12/01/2021,Wolves,Everton
12/01/2021,Newcastle,Sheffield Utd
12/01/2021,Man Utd,Burnley
12/01/2021,Everton,Wolves
13/01/2021,Man City,Brighton
13/01/2021,Spurs,Fulham
13/01/2021,Brighton,Man City
13/01/2021,Fulham,Spurs
14/01/2021,Arsenal,Crystal Palace
14/01/2021,Crystal Palace,Arsenal
16/01/2021,Wolves,West Brom
16/01/2021,Leeds,Brighton
16/01/2021,West Ham,Burnley
16/01/2021,Fulham,Chelsea
16/01/2021,Leicester,Southampton
16/01/2021,West Brom,Wolves
16/01/2021,Brighton,Leeds
16/01/2021,Burnley,West Ham
16/01/2021,Chelsea,Fulham
16/01/2021,Southampton,Leicester
17/01/2021,Sheffield Utd,Spurs
17/01/2021,Liverpool,Man Utd
17/01/2021,Man City,Crystal Palace
17/01/2021,Spurs,Sheffield Utd
17/01/2021,Man Utd,Liverpool
17/01/2021,Crystal Palace,Man City
18/01/2021,Arsenal,Newcastle
18/01/2021,Newcastle,Arsenal
19/01/2021,West Ham,West Brom
19/01/2021,Leicester,Chelsea
19/01/2021,West Brom,West Ham
19/01/2021,Chelsea,Leicester
20/01/2021,Man City,Aston Villa
20/01/2021,Fulham,Man Utd
20/01/2021,Aston Villa,Man City
20/01/2021,Man Utd,Fulham
21/01/2021,Liverpool,Burnley
21/01/2021,Burnley,Liverpool
23/01/2021,Aston Villa,Newcastle
23/01/2021,Newcastle,Aston Villa
26/01/2021,Crystal Palace,West Ham
26/01/2021,Newcastle,Leeds
26/01/2021,Southampton,Arsenal
26/01/2021,West Brom,Man City
26/01/2021,West Ham,Crystal Palace
26/01/2021,Leeds,Newcastle
26/01/2021,Arsenal,Southampton
26/01/2021,Man City,West Brom
27/01/2021,Burnley,Aston Villa
27/01/2021,Chelsea,Wolves
27/01/2021,Brighton,Fulham
27/01/2021,Everton,Leicester
27/01/2021,Man Utd,Sheffield Utd
27/01/2021,Aston Villa,Burnley
27/01/2021,Wolves,Chelsea
27/01/2021,Fulham,Brighton
27/01/2021,Leicester,Everton
27/01/2021,Sheffield Utd,Man Utd
28/01/2021,Spurs,Liverpool
28/01/2021,Liverpool,Spurs
30/01/2021,Everton,Newcastle
30/01/2021,Crystal Palace,Wolves
30/01/2021,Man City,Sheffield Utd
30/01/2021,West Brom,Fulham
30/01/2021,Arsenal,Man Utd
30/01/2021,Southampton,Aston Villa
30/01/2021,Newcastle,Everton
30/01/2021,Wolves,Crystal Palace
30/01/2021,Sheffield Utd,Man City
30/01/2021,Fulham,West Brom
30/01/2021,Man Utd,Arsenal
30/01/2021,Aston Villa,Southampton
31/01/2021,Chelsea,Burnley
31/01/2021,Leicester,Leeds
31/01/2021,West Ham,Liverpool
31/01/2021,Brighton,Spurs
31/01/2021,Burnley,Chelsea
31/01/2021,Leeds,Leicester
31/01/2021,Liverpool,West Ham
31/01/2021,Spurs,Brighton
02/02/2021,Sheffield Utd,West Brom
02/02/2021,Wolves,Arsenal
02/02/2021,Man Utd,Southampton
02/02/2021,Newcastle,Crystal Palace
02/02/2021,West Brom,Sheffield Utd
02/02/2021,Arsenal,Wolves
02/02/2021,Southampton,Man Utd
02/02/2021,Crystal Palace,Newcastle
03/02/2021,Burnley,Man City
03/02/2021,Fulham,Leicester
03/02/2021,Leeds,Everton
03/02/2021,Aston Villa,West Ham
03/02/2021,Liverpool,Brighton
03/02/2021,Man City,Burnley
03/02/2021,Leicester,Fulham
03/02/2021,Everton,Leeds
03/02/2021,West Ham,Aston Villa
03/02/2021,Brighton,Liverpool
04/02/2021,Spurs,Chelsea
04/02/2021,Chelsea,Spurs
06/02/2021,Aston Villa,Arsenal
06/02/2021,Burnley,Brighton
06/02/2021,Newcastle,Southampton
06/02/2021,Fulham,West Ham
06/02/2021,Man Utd,Everton
06/02/2021,Arsenal,Aston Villa
06/02/2021,Brighton,Burnley
06/02/2021,Southampton,Newcastle
06/02/2021,West Ham,Fulham
06/02/2021,Everton,Man Utd
07/02/2021,Spurs,West Brom
07/02/2021,Wolves,Leicester
07/02/2021,Liverpool,Man City
07/02/2021,Sheffield Utd,Chelsea
07/02/2021,West Brom,Spurs
07/02/2021,Leicester,Wolves
